code,pref,name,mui,junmui,muiPop
2442,青森県,五戸町（三戸郡）,,,
2443,青森県,田子町（三戸郡）,,,
2445,青森県,南部町（三戸郡）,,,
2446,青森県,階上町（三戸郡）,,,
2450,青森県,新郷村（三戸郡）,,,
3201,岩手県,盛岡市,,,
3202,岩手県,宮古市,,,
3203,岩手県,大船渡市,,,
3205,岩手県,花巻市,,,
3206,岩手県,北上市,,,
3207,岩手県,久慈市,,,
3208,岩手県,遠野市,,,
3209,岩手県,一関市,,,
3210,岩手県,陸前高田市,,,
3211,岩手県,釜石市,,,
3213,岩手県,二戸市,,,
3214,岩手県,八幡平市,,,
3215,岩手県,奥州市,,,
3216,岩手県,滝沢市,,,
3301,岩手県,雫石町（岩手郡）,,,
3302,岩手県,葛巻町（岩手郡）,,,
3303,岩手県,岩手町（岩手郡）,,,
3321,岩手県,紫波町（紫波郡）,,,
3322,岩手県,矢巾町（紫波郡）,,,
3366,岩手県,西和賀町（和賀郡）,,,
3381,岩手県,金ケ崎町（胆沢郡）,,,
3402,岩手県,平泉町（西磐井郡）,,,
3441,岩手県,住田町（気仙郡）,,,
3461,岩手県,大槌町（上閉伊郡）,,,
3482,岩手県,山田町（下閉伊郡）,,,
3483,岩手県,岩泉町（下閉伊郡）,,,
3484,岩手県,田野畑村（下閉伊郡）,,,
3485,岩手県,普代村（下閉伊郡）,,,
3501,岩手県,軽米町（九戸郡）,,,
3503,岩手県,野田村（九戸郡）,,,
3506,岩手県,九戸村（九戸郡）,,,
3507,岩手県,洋野町（九戸郡）,,,
3524,岩手県,一戸町（二戸郡）,,,
4100,宮城県,仙台市,,,
4202,宮城県,石巻市,,,
4203,宮城県,塩竈市,,,
4205,宮城県,気仙沼市,,,
4206,宮城県,白石市,,,
4207,宮城県,名取市,,,
4208,宮城県,角田市,,,
4209,宮城県,多賀城市,,,
4211,宮城県,岩沼市,,,
4212,宮城県,登米市,,,
4213,宮城県,栗原市,,,
4214,宮城県,東松島市,,,
4215,宮城県,大崎市,,,
4216,宮城県,富谷市,,,
4301,宮城県,蔵王町（刈田郡）,,,
4302,宮城県,七ヶ宿町（刈田郡）,,,
4321,宮城県,大河原町（柴田郡）,,,
4322,宮城県,村田町（柴田郡）,,,
4323,宮城県,柴田町（柴田郡）,,,
4324,宮城県,川崎町（柴田郡）,,,
4341,宮城県,丸森町（伊具郡）,,,
4361,宮城県,亘理町（亘理郡）,,,
4362,宮城県,山元町（亘理郡）,,,
4401,宮城県,松島町（宮城郡）,,,
4404,宮城県,七ヶ浜町（宮城郡）,,,
4406,宮城県,利府町（宮城郡）,,,
4421,宮城県,大和町（黒川郡）,,,
4422,宮城県,大郷町（黒川郡）,,,
4424,宮城県,大衡村（黒川郡）,,,
4444,宮城県,色麻町（加美郡）,,,
4445,宮城県,加美町（加美郡）,,,
4501,宮城県,涌谷町（遠田郡）,,,
4505,宮城県,美里町（遠田郡）,,,
4581,宮城県,女川町（牡鹿郡）,,,
4606,宮城県,南三陸町（本吉郡）,,,
5201,秋田県,秋田市,,,
5202,秋田県,能代市,,,
5203,秋田県,横手市,,,
5204,秋田県,大館市,,,
5206,秋田県,男鹿市,,,
5207,秋田県,湯沢市,,,
5209,秋田県,鹿角市,,,
5210,秋田県,由利本荘市,,,
5211,秋田県,潟上市,,,
5212,秋田県,大仙市,,,
5213,秋田県,北秋田市,,,
5214,秋田県,にかほ市,,,
5215,秋田県,仙北市,,,
5303,秋田県,小坂町（鹿角郡）,,,
5327,秋田県,上小阿仁村（北秋田郡）,,,
5346,秋田県,藤里町（山本郡）,,,
5348,秋田県,三種町（山本郡）,,,
5349,秋田県,八峰町（山本郡）,,,
5361,秋田県,五城目町（南秋田郡）,,,
5363,秋田県,八郎潟町（南秋田郡）,,,
5366,秋田県,井川町（南秋田郡）,,,
5368,秋田県,大潟村（南秋田郡）,,,
5434,秋田県,美郷町（仙北郡）,,,
5463,秋田県,羽後町（雄勝郡）,,,
5464,秋田県,東成瀬村（雄勝郡）,,,
6201,山形県,山形市,,,
6202,山形県,米沢市,,,
6203,山形県,鶴岡市,,,
6204,山形県,酒田市,,,
6205,山形県,新庄市,,,
6206,山形県,寒河江市,,,
6207,山形県,上山市,,,
6208,山形県,村山市,,,
6209,山形県,長井市,,,
6210,山形県,天童市,,,
6211,山形県,東根市,,,
6212,山形県,尾花沢市,,,
6213,山形県,南陽市,,,
6301,山形県,山辺町（東村山郡）,,,
6302,山形県,中山町（東村山郡）,,,
